customer_id,plan,signup_date,acquisition_channel,payment_method
CUST0523,Free,2023-06-30,Referral,PayPal
CUST0524,Business,2023-11-02,Social,PayPal
CUST0525,Free,2023-10-02,Organic Search,PayPal
CUST0526,Business,2023-03-10,Referral,PayPal
CUST0527,Free,2023-07-07,Organic Search,Invoice
CUST0528,Free,2023-10-15,Referral,Credit Card
CUST0529,Pro,2023-07-17,Referral,Invoice
CUST0530,Pro,2023-12-15,Paid Ads,Credit Card
CUST0531,Pro,2023-07-21,Referral,Invoice
CUST0532,Pro,2024-04-25,Paid Ads,Credit Card
CUST0533,Pro,2023-11-05,Organic Search,Credit Card
CUST0534,Free,2023-01-20,Referral,PayPal
CUST0535,Pro,2023-09-23,Paid Ads,PayPal
CUST0536,Pro,2024-04-21,Paid Ads,PayPal
CUST0537,Pro,2023-11-12,Referral,Invoice
CUST0538,Pro,2023-06-22,Social,Invoice
CUST0539,Free,2023-10-16,Organic Search,PayPal
CUST0540,Pro,2023-06-19,Social,Invoice
CUST0541,Pro,2023-06-07,Organic Search,Invoice
CUST0542,Free,2023-08-31,Paid Ads,Invoice
CUST0543,Pro,2023-01-27,Paid Ads,Invoice
CUST0544,Pro,2023-11-19,Social,Credit Card
CUST0545,Pro,2024-02-25,Organic Search,Invoice
CUST0546,Pro,2024-04-30,Paid Ads,Credit Card
CUST0547,Free,2023-08-14,Paid Ads,PayPal
CUST0548,Free,2023-12-20,Social,Invoice
CUST0549,Free,2024-01-08,Paid Ads,Invoice
CUST0550,Pro,2023-04-17,Social,Invoice
CUST0551,Free,2023-07-12,Paid Ads,PayPal
CUST0552,Pro,2024-04-12,Referral,Invoice
CUST0553,Business,2024-01-31,Referral,Invoice
CUST0554,Free,2023-09-05,Paid Ads,PayPal
CUST0555,Free,2023-10-13,Referral,PayPal
CUST0556,Free,2023-12-27,Social,PayPal
CUST0557,Free,2023-09-03,Referral,PayPal
CUST0558,Pro,2023-03-04,Social,PayPal
CUST0559,Free,2024-02-24,Paid Ads,PayPal
CUST0560,Free,2023-01-22,Organic Search,PayPal
CUST0561,Pro,2024-04-18,Referral,Invoice
CUST0562,Free,2023-09-03,Referral,Invoice
CUST0563,Free,2023-12-23,Organic Search,Invoice
CUST0564,Pro,2024-01-15,Paid Ads,Credit Card
CUST0565,Business,2023-12-09,Paid Ads,Invoice
CUST0566,Free,2023-04-30,Social,PayPal
CUST0567,Pro,2024-01-03,Paid Ads,Credit Card
CUST0568,Business,2023-10-09,Paid Ads,PayPal
CUST0569,Business,2023-12-01,Social,PayPal
CUST0570,Free,2023-11-30,Referral,PayPal
CUST0571,Pro,2023-05-27,Organic Search,Invoice
CUST0572,Free,2023-10-21,Organic Search,Credit Card
CUST0573,Business,2023-08-02,Paid Ads,Credit Card
CUST0574,Pro,2024-03-04,Social,Credit Card
CUST0575,Pro,2024-04-24,Referral,Credit Card
CUST0576,Free,2023-01-05,Organic Search,PayPal
CUST0577,Pro,2023-05-26,Social,Credit Card
CUST0578,Pro,2024-03-11,Referral,Credit Card
CUST0579,Free,2024-02-19,Paid Ads,Invoice
CUST0580,Pro,2023-08-23,Paid Ads,Credit Card
CUST0581,Free,2024-01-13,Referral,Invoice
CUST0582,Pro,2023-12-12,Paid Ads,Invoice
CUST0583,Pro,2024-03-14,Social,PayPal
CUST0584,Free,2023-09-21,Social,Invoice
CUST0585,Free,2023-02-18,Paid Ads,PayPal
CUST0586,Business,2023-06-15,Organic Search,PayPal
CUST0587,Free,2023-07-16,Referral,PayPal
CUST0588,Pro,2023-06-04,Organic Search,PayPal
CUST0589,Pro,2023-12-01,Paid Ads,Credit Card
CUST0590,Free,2023-12-08,Referral,Credit Card
CUST0591,Pro,2023-07-27,Referral,Invoice
CUST0592,Pro,2023-03-02,Referral,PayPal
CUST0593,Free,2023-11-11,Paid Ads,PayPal
CUST0594,Pro,2023-03-20,Referral,PayPal
CUST0595,Pro,2023-12-26,Social,Invoice
CUST0596,Pro,2024-02-15,Paid Ads,Credit Card
CUST0597,Pro,2023-12-15,Organic Search,Invoice
CUST0598,Pro,2023-08-17,Referral,Credit Card
CUST0599,Pro,2024-04-14,Organic Search,Invoice
CUST0600,Pro,2024-04-07,Paid Ads,Credit Card
CUST0601,Business,2023-06-17,Social,Credit Card
CUST0602,Free,2023-12-15,Social,Credit Card
CUST0603,Pro,2024-04-05,Organic Search,PayPal
CUST0604,Pro,2023-03-09,Social,Invoice
CUST0605,Pro,2023-01-30,Referral,Invoice
CUST0606,Pro,2023-01-12,Organic Search,Invoice
CUST0607,Pro,2023-04-22,Organic Search,PayPal
CUST0608,Pro,2023-06-26,Organic Search,Credit Card
CUST0609,Pro,2024-04-23,Referral,PayPal
CUST0610,Pro,2023-04-03,Social,PayPal
CUST0611,Pro,2024-04-01,Social,PayPal
CUST0612,Pro,2023-02-11,Paid Ads,Invoice
CUST0613,Free,2024-03-16,Paid Ads,Invoice
CUST0614,Pro,2023-07-21,Paid Ads,Credit Card
CUST0615,Free,2024-01-23,Referral,PayPal
CUST0616,Pro,2023-12-11,Social,Invoice
CUST0617,Business,2023-07-14,Paid Ads,PayPal
CUST0618,Free,2023-06-27,Paid Ads,Invoice
CUST0619,Free,2024-01-27,Social,Invoice
CUST0620,Business,2024-01-28,Organic Search,Credit Card
CUST0621,Free,2023-04-16,Organic Search,PayPal
CUST0622,Pro,2023-11-03,Organic Search,Credit Card
CUST0623,Free,2024-01-15,Social,Credit Card
CUST0624,Free,2023-10-04,Organic Search,Credit Card
CUST0625,Business,2023-09-15,Paid Ads,Invoice
CUST0626,Free,2023-10-22,Referral,Credit Card
CUST0627,Business,2023-06-04,Paid Ads,PayPal
CUST0628,Free,2023-06-03,Paid Ads,Invoice
CUST0629,Pro,2023-12-14,Social,Credit Card
CUST0630,Business,2023-06-26,Social,Invoice
CUST0631,Pro,2023-06-13,Social,Credit Card
CUST0632,Pro,2023-06-03,Social,Credit Card
CUST0633,Free,2024-03-10,Paid Ads,PayPal
CUST0634,Free,2024-04-13,Social,PayPal
CUST0635,Pro,2023-10-13,Social,Credit Card
CUST0636,Free,2023-05-11,Organic Search,PayPal
CUST0637,Pro,2024-03-09,Paid Ads,Credit Card
CUST0638,Pro,2023-05-18,Organic Search,Credit Card
CUST0639,Business,2023-04-07,Paid Ads,PayPal
CUST0640,Business,2023-04-17,Referral,PayPal
CUST0641,Free,2024-04-10,Paid Ads,Invoice
CUST0642,Pro,2023-03-02,Social,Credit Card
CUST0643,Pro,2023-12-23,Paid Ads,PayPal
CUST0644,Free,2024-04-13,Referral,PayPal
CUST0645,Pro,2023-07-14,Referral,PayPal
CUST0646,Pro,2023-05-14,Social,PayPal
CUST0647,Business,2023-02-20,Social,PayPal
CUST0648,Free,2024-04-13,Referral,PayPal
CUST0649,Pro,2023-01-24,Paid Ads,Invoice
CUST0650,Free,2023-03-16,Social,PayPal
CUST0651,Free,2023-03-20,Paid Ads,PayPal
CUST0652,Business,2023-10-19,Social,Invoice
CUST0653,Business,2023-12-02,Referral,PayPal
CUST0654,Business,2024-01-26,Social,PayPal
CUST0655,Pro,2023-03-28,Referral,Credit Card
CUST0656,Pro,2023-03-13,Social,Credit Card
CUST0657,Business,2024-04-14,Organic Search,Invoice
CUST0658,Business,2023-01-18,Organic Search,Invoice
CUST0659,Pro,2023-01-25,Social,Credit Card
CUST0660,Pro,2024-03-07,Organic Search,Invoice
CUST0661,Free,2023-03-19,Social,PayPal
CUST0662,Pro,2023-01-31,Social,Invoice
CUST0663,Free,2023-09-07,Social,Credit Card
CUST0664,Pro,2023-01-09,Referral,Invoice
CUST0665,Free,2023-05-27,Social,Credit Card
CUST0666,Business,2023-02-24,Paid Ads,Credit Card
CUST0667,Pro,2023-04-09,Referral,PayPal
CUST0668,Pro,2023-05-17,Organic Search,PayPal
CUST0669,Pro,2023-07-27,Paid Ads,Invoice
CUST0670,Free,2023-04-26,Organic Search,Invoice
CUST0671,Pro,2024-03-15,Organic Search,Credit Card
CUST0672,Pro,2023-07-27,Social,Credit Card
CUST0673,Free,2023-11-23,Paid Ads,Credit Card
CUST0674,Business,2023-09-13,Referral,Invoice
CUST0675,Business,2024-03-15,Organic Search,Credit Card
CUST0676,Business,2023-04-19,Social,PayPal
CUST0677,Business,2023-01-24,Referral,Invoice
CUST0678,Pro,2023-10-16,Paid Ads,PayPal
CUST0679,Business,2023-01-09,Paid Ads,Invoice
CUST0680,Pro,2024-02-25,Organic Search,PayPal
CUST0681,Pro,2023-03-25,Social,Invoice
CUST0682,Pro,2024-04-04,Social,Invoice
CUST0683,Pro,2023-03-13,Organic Search,Invoice
CUST0684,Business,2024-01-17,Organic Search,Credit Card
CUST0685,Free,2023-08-12,Organic Search,PayPal
CUST0686,Pro,2023-11-06,Social,PayPal
CUST0687,Pro,2023-01-16,Social,PayPal
CUST0688,Pro,2023-04-27,Social,PayPal
CUST0689,Pro,2023-04-06,Social,Credit Card
CUST0690,Pro,2024-01-31,Paid Ads,Invoice
CUST0691,Free,2023-02-07,Paid Ads,PayPal
CUST0692,Pro,2023-12-31,Paid Ads,Invoice
CUST0693,Free,2023-07-19,Organic Search,Credit Card
CUST0694,Business,2023-01-03,Social,PayPal
CUST0695,Free,2024-01-25,Paid Ads,Credit Card
CUST0696,Pro,2023-04-06,Social,Credit Card
CUST0697,Free,2023-01-14,Organic Search,Invoice
CUST0698,Pro,2023-11-03,Social,Credit Card
CUST0699,Pro,2023-05-30,Organic Search,Invoice
CUST0700,Pro,2024-04-06,Paid Ads,Invoice
